ssp,age,sex,period,assr,CNTR_CODE,cntr_name
2,85--89,Male,2060-2065,0.648,AT,Austria
2,95--99,Female,2020-2025,0.138,AT,Austria
3,5--9,Female,2075-2080,1,AT,Austria
2,Newborn,Female,1985-1990,0.991,AT,Austria
2,5--9,Male,1950-1955,0.996,AT,Austria
1,15--19,Female,2060-2065,1,AT,Austria
3,50--54,Female,2045-2050,0.992,AT,Austria
1,25--29,Male,2025-2030,0.998,AT,Austria
1,35--39,Female,1985-1990,0.994,AT,Austria
1,45--49,Male,1950-1955,0.956,AT,Austria
2,80--84,Male,2085-2090,0.926,AT,Austria
2,90--94,Female,2045-2050,0.419,AT,Austria
3,10--14,Male,2065-2070,0.999,AT,Austria
2,100+,Male,2010-2015,0,AT,Austria
2,0--4,Male,1975-1980,0.997,AT,Austria
3,45--49,Female,2070-2075,0.997,AT,Austria
3,55--59,Male,2035-2040,0.967,AT,Austria
3,65--69,Female,1995-2000,0.926,AT,Austria
1,30--34,Female,2010-2015,0.998,AT,Austria
3,75--79,Male,1960-1965,0.532,AT,Austria
2,85--89,Female,2070-2075,0.831,AT,Austria
2,95--99,Male,2035-2040,0.133,AT,Austria
1,90--94,Male,2065-2070,0.604,AT,Austria
3,40--44,Female,2095-2100,0.999,AT,Austria
2,5--9,Female,1960-1965,0.998,AT,Austria
3,50--54,Male,2060-2065,0.985,AT,Austria
3,60--64,Female,2020-2025,0.971,AT,Austria
3,70--74,Male,1985-1990,0.735,AT,Austria
1,35--39,Male,2000-2005,0.992,AT,Austria
2,80--84,Female,2095-2100,0.995,AT,Austria
2,90--94,Male,2060-2065,0.408,AT,Austria
2,100+,Female,2020-2025,0.06,AT,Austria
3,10--14,Female,2075-2080,1,AT,Austria
2,0--4,Female,1985-1990,0.999,AT,Austria
2,10--14,Male,1950-1955,0.995,AT,Austria
1,20--24,Female,2060-2065,1,AT,Austria
3,55--59,Female,2045-2050,0.988,AT,Austria
1,30--34,Male,2025-2030,0.998,AT,Austria
1,40--44,Female,1985-1990,0.99,AT,Austria
1,50--54,Male,1950-1955,0.929,AT,Austria
2,85--89,Male,2085-2090,0.801,AT,Austria
2,95--99,Female,2045-2050,0.195,AT,Austria
3,15--19,Male,2065-2070,0.998,AT,Austria
2,Newborn,Female,2010-2015,0.997,AT,Austria
2,5--9,Male,1975-1980,0.998,AT,Austria
3,50--54,Female,2070-2075,0.995,AT,Austria
3,60--64,Male,2035-2040,0.95,AT,Austria
3,70--74,Female,1995-2000,0.87,AT,Austria
1,35--39,Female,2010-2015,0.997,AT,Austria
3,80--84,Male,1960-1965,0.377,AT,Austria
2,90--94,Female,2070-2075,0.6,AT,Austria
2,100+,Male,2035-2040,0.05,AT,Austria
1,95--99,Male,2065-2070,0.278,AT,Austria
3,45--49,Female,2095-2100,0.998,AT,Austria
2,10--14,Female,1960-1965,0.998,AT,Austria
3,55--59,Male,2060-2065,0.976,AT,Austria
3,65--69,Female,2020-2025,0.953,AT,Austria
3,75--79,Male,1985-1990,0.599,AT,Austria
1,40--44,Male,2000-2005,0.987,AT,Austria
2,85--89,Female,2095-2100,0.969,AT,Austria
2,95--99,Male,2060-2065,0.173,AT,Austria
2,Newborn,Male,2025-2030,0.998,AT,Austria
3,15--19,Female,2075-2080,1,AT,Austria
2,5--9,Female,1985-1990,0.999,AT,Austria
2,15--19,Male,1950-1955,0.991,AT,Austria
1,25--29,Female,2060-2065,1,AT,Austria
3,60--64,Female,2045-2050,0.981,AT,Austria
1,35--39,Male,2025-2030,0.996,AT,Austria
1,45--49,Female,1985-1990,0.985,AT,Austria
1,55--59,Male,1950-1955,0.894,AT,Austria
2,90--94,Male,2085-2090,0.559,AT,Austria
2,100+,Female,2045-2050,0.071,AT,Austria
3,20--24,Male,2065-2070,0.998,AT,Austria
2,0--4,Female,2010-2015,1,AT,Austria
2,10--14,Male,1975-1980,0.995,AT,Austria
3,55--59,Female,2070-2075,0.992,AT,Austria
3,65--69,Male,2035-2040,0.928,AT,Austria
3,75--79,Female,1995-2000,0.767,AT,Austria
1,40--44,Female,2010-2015,0.995,AT,Austria
3,85--89,Male,1960-1965,0.227,AT,Austria
2,95--99,Female,2070-2075,0.293,AT,Austria
2,Newborn,Female,2035-2040,0.999,AT,Austria
1,100+,Male,2065-2070,0.07,AT,Austria
3,50--54,Female,2095-2100,0.997,AT,Austria
2,15--19,Female,1960-1965,0.997,AT,Austria
3,60--64,Male,2060-2065,0.965,AT,Austria
3,70--74,Female,2020-2025,0.916,AT,Austria
3,80--84,Male,1985-1990,0.436,AT,Austria
1,45--49,Male,2000-2005,0.977,AT,Austria
2,90--94,Female,2095-2100,0.857,AT,Austria
2,100+,Male,2060-2065,0.048,AT,Austria
2,0--4,Male,2025-2030,1,AT,Austria
3,20--24,Female,2075-2080,1,AT,Austria
2,10--14,Female,1985-1990,0.999,AT,Austria
2,20--24,Male,1950-1955,0.99,AT,Austria
1,30--34,Female,2060-2065,1,AT,Austria
3,65--69,Female,2045-2050,0.97,AT,Austria
1,40--44,Male,2025-2030,0.994,AT,Austria
1,50--54,Female,1985-1990,0.978,AT,Austria
1,60--64,Male,1950-1955,0.842,AT,Austria
2,95--99,Male,2085-2090,0.252,AT,Austria
2,Newborn,Male,2050-2055,0.999,AT,Austria
3,25--29,Male,2065-2070,0.998,AT,Austria
2,5--9,Female,2010-2015,1,AT,Austria
2,15--19,Male,1975-1980,0.991,AT,Austria
3,60--64,Female,2070-2075,0.988,AT,Austria
3,70--74,Male,2035-2040,0.887,AT,Austria
3,80--84,Female,1995-2000,0.601,AT,Austria
1,45--49,Female,2010-2015,0.991,AT,Austria
3,90--94,Male,1960-1965,0.122,AT,Austria
2,100+,Female,2070-2075,0.087,AT,Austria
2,0--4,Female,2035-2040,1,AT,Austria
1,Newborn,Female,2065-2070,1,AT,Austria
3,55--59,Female,2095-2100,0.996,AT,Austria
2,20--24,Female,1960-1965,0.997,AT,Austria
3,65--69,Male,2060-2065,0.95,AT,Austria
3,75--79,Female,2020-2025,0.837,AT,Austria
3,85--89,Male,1985-1990,0.28,AT,Austria
1,50--54,Male,2000-2005,0.964,AT,Austria
2,95--99,Female,2095-2100,0.505,AT,Austria
2,Newborn,Female,2060-2065,1,AT,Austria
2,5--9,Male,2025-2030,1,AT,Austria
3,25--29,Female,2075-2080,1,AT,Austria
2,15--19,Female,1985-1990,0.998,AT,Austria
2,25--29,Male,1950-1955,0.99,AT,Austria
1,35--39,Female,2060-2065,1,AT,Austria
3,70--74,Female,2045-2050,0.945,AT,Austria
1,45--49,Male,2025-2030,0.989,AT,Austria
1,55--59,Female,1985-1990,0.966,AT,Austria
1,65--69,Male,1950-1955,0.767,AT,Austria
2,100+,Male,2085-2090,0.066,AT,Austria
2,0--4,Male,2050-2055,1,AT,Austria
3,30--34,Male,2065-2070,0.998,AT,Austria
2,10--14,Female,2010-2015,0.999,AT,Austria
2,20--24,Male,1975-1980,0.991,AT,Austria
3,65--69,Female,2070-2075,0.982,AT,Austria
3,75--79,Male,2035-2040,0.804,AT,Austria
3,85--89,Female,1995-2000,0.402,AT,Austria
1,50--54,Female,2010-2015,0.986,AT,Austria
3,95--99,Male,1960-1965,0.064,AT,Austria
2,Newborn,Male,2075-2080,1,AT,Austria
2,5--9,Female,2035-2040,1,AT,Austria
1,0--4,Female,2065-2070,1,AT,Austria
3,60--64,Female,2095-2100,0.994,AT,Austria
2,25--29,Female,1960-1965,0.996,AT,Austria
3,70--74,Male,2060-2065,0.921,AT,Austria
3,80--84,Female,2020-2025,0.692,AT,Austria
3,90--94,Male,1985-1990,0.159,AT,Austria
1,55--59,Male,2000-2005,0.947,AT,Austria
2,100+,Female,2095-2100,0.138,AT,Austria
2,0--4,Female,2060-2065,1,AT,Austria
2,10--14,Male,2025-2030,0.999,AT,Austria
3,30--34,Female,2075-2080,0.999,AT,Austria
2,20--24,Female,1985-1990,0.998,AT,Austria
2,30--34,Male,1950-1955,0.988,AT,Austria
1,40--44,Female,2060-2065,1,AT,Austria
3,75--79,Female,2045-2050,0.886,AT,Austria
1,50--54,Male,2025-2030,0.982,AT,Austria
1,60--64,Female,1985-1990,0.944,AT,Austria
1,70--74,Male,1950-1955,0.662,AT,Austria
2,Newborn,Female,2085-2090,1,AT,Austria
2,5--9,Male,2050-2055,1,AT,Austria
3,35--39,Male,2065-2070,0.997,AT,Austria
2,15--19,Female,2010-2015,0.999,AT,Austria
2,25--29,Male,1975-1980,0.992,AT,Austria
3,70--74,Female,2070-2075,0.968,AT,Austria
3,80--84,Male,2035-2040,0.659,AT,Austria
3,90--94,Female,1995-2000,0.224,AT,Austria
1,55--59,Female,2010-2015,0.977,AT,Austria
3,100+,Male,1960-1965,0,AT,Austria
2,0--4,Male,2075-2080,1,AT,Austria
2,10--14,Female,2035-2040,1,AT,Austria
1,5--9,Female,2065-2070,1,AT,Austria
3,65--69,Female,2095-2100,0.99,AT,Austria
2,30--34,Female,1960-1965,0.993,AT,Austria
3,75--79,Male,2060-2065,0.855,AT,Austria
3,85--89,Female,2020-2025,0.49,AT,Austria
3,95--99,Male,1985-1990,0.079,AT,Austria
1,60--64,Male,2000-2005,0.921,AT,Austria
3,Newborn,Male,1950-1955,0.938,AT,Austria
2,5--9,Female,2060-2065,1,AT,Austria
2,15--19,Male,2025-2030,0.998,AT,Austria
3,35--39,Female,2075-2080,0.999,AT,Austria
2,25--29,Female,1985-1990,0.998,AT,Austria
2,35--39,Male,1950-1955,0.983,AT,Austria
1,45--49,Female,2060-2065,1,AT,Austria
3,80--84,Female,2045-2050,0.761,AT,Austria
1,55--59,Male,2025-2030,0.973,AT,Austria
1,65--69,Female,1985-1990,0.906,AT,Austria
1,75--79,Male,1950-1955,0.518,AT,Austria
2,0--4,Female,2085-2090,1,AT,Austria
2,10--14,Male,2050-2055,0.999,AT,Austria
3,40--44,Male,2065-2070,0.995,AT,Austria
2,20--24,Female,2010-2015,0.999,AT,Austria
2,30--34,Male,1975-1980,0.99,AT,Austria
3,75--79,Female,2070-2075,0.927,AT,Austria
3,85--89,Male,2035-2040,0.461,AT,Austria
3,95--99,Female,1995-2000,0.094,AT,Austria
1,60--64,Female,2010-2015,0.963,AT,Austria
3,Newborn,Female,1960-1965,0.971,AT,Austria
2,5--9,Male,2075-2080,1,AT,Austria
2,15--19,Female,2035-2040,0.999,AT,Austria
1,10--14,Female,2065-2070,1,AT,Austria
3,70--74,Female,2095-2100,0.982,AT,Austria
2,35--39,Female,1960-1965,0.991,AT,Austria
3,80--84,Male,2060-2065,0.724,AT,Austria
3,90--94,Female,2020-2025,0.281,AT,Austria
3,100+,Male,1985-1990,0,AT,Austria
1,65--69,Male,2000-2005,0.876,AT,Austria
3,0--4,Male,1950-1955,0.991,AT,Austria
2,10--14,Female,2060-2065,1,AT,Austria
2,20--24,Male,2025-2030,0.998,AT,Austria
3,40--44,Female,2075-2080,0.998,AT,Austria
2,30--34,Female,1985-1990,0.996,AT,Austria
2,40--44,Male,1950-1955,0.974,AT,Austria
1,50--54,Female,2060-2065,1,AT,Austria
3,85--89,Female,2045-2050,0.565,AT,Austria
1,60--64,Male,2025-2030,0.959,AT,Austria
1,70--74,Female,1985-1990,0.834,AT,Austria
1,80--84,Male,1950-1955,0.356,AT,Austria
2,5--9,Female,2085-2090,1,AT,Austria
2,15--19,Male,2050-2055,0.999,AT,Austria
3,45--49,Male,2065-2070,0.991,AT,Austria
2,25--29,Female,2010-2015,0.999,AT,Austria
2,35--39,Male,1975-1980,0.984,AT,Austria
3,80--84,Female,2070-2075,0.829,AT,Austria
